userLabel,hostIp,neType
NE208,111.1.1.208,SPN805
NE209,111.1.1.209,SPN805
NE210,111.1.1.210,SPN805
NE211,111.1.1.211,SPN805
NE212,111.1.1.212,SPN805
NE213,111.1.1.213,SPN805
NE214,111.1.1.214,SPN805
NE215,111.1.1.215,SPN805
NE216,111.1.1.216,SPN805
NE217,111.1.1.217,SPN805
NE218,111.1.1.218,SPN805
NE219,111.1.1.219,SPN805
NE220,111.1.1.220,SPN805
NE221,111.1.1.221,SPN805
NE222,111.1.1.222,SPN805
NE223,111.1.1.223,SPN805
NE224,111.1.1.224,SPN805
NE225,111.1.1.225,SPN805
NE226,111.1.1.226,SPN805
NE227,111.1.1.227,SPN805
NE228,111.1.1.228,SPN805
NE229,111.1.1.229,SPN805
NE230,111.1.1.230,SPN805
NE231,111.1.1.231,SPN805
NE232,111.1.1.232,SPN805
NE233,111.1.1.233,SPN805
NE234,111.1.1.234,SPN805
NE235,111.1.1.235,SPN805
NE236,111.1.1.236,SPN805
NE237,111.1.1.237,SPN805
NE238,111.1.1.238,SPN805
NE239,111.1.1.239,SPN805
NE240,111.1.1.240,SPN805
NE241,111.1.1.241,SPN805
NE242,111.1.1.242,SPN805
NE243,111.1.1.243,SPN805
NE244,111.1.1.244,SPN805
NE245,111.1.1.245,SPN805
NE246,111.1.1.246,SPN805
NE247,111.1.1.247,SPN805
NE248,111.1.1.248,SPN805
NE249,111.1.1.249,SPN805
NE250,111.1.1.250,SPN805
NE251,111.1.2.1,SPN805
NE252,111.1.2.2,SPN805
NE253,111.1.2.3,SPN805
NE254,111.1.2.4,SPN805
NE255,111.1.2.5,SPN805
NE256,111.1.2.6,SPN805
NE257,111.1.2.7,SPN805
NE258,111.1.2.8,SPN805
NE259,111.1.2.9,SPN805
NE260,111.1.2.10,SPN805
NE261,111.1.2.11,SPN805
NE262,111.1.2.12,SPN805
NE263,111.1.2.13,SPN805
NE264,111.1.2.14,SPN805
NE265,111.1.2.15,SPN805
NE266,111.1.2.16,SPN805
NE267,111.1.2.17,SPN805
NE268,111.1.2.18,SPN805
NE269,111.1.2.19,SPN805
NE270,111.1.2.20,SPN805
NE271,111.1.2.21,SPN805
NE272,111.1.2.22,SPN805
NE273,111.1.2.23,SPN805
NE274,111.1.2.24,SPN805
NE275,111.1.2.25,SPN805
NE276,111.1.2.26,SPN805
NE277,111.1.2.27,SPN805
NE278,111.1.2.28,SPN805
NE279,111.1.2.29,SPN805
NE280,111.1.2.30,SPN805
NE281,111.1.2.31,SPN805
NE282,111.1.2.32,SPN805
NE283,111.1.2.33,SPN805
NE284,111.1.2.34,SPN805
NE285,111.1.2.35,SPN805
NE286,111.1.2.36,SPN805
NE287,111.1.2.37,SPN805
NE288,111.1.2.38,SPN805
NE289,111.1.2.39,SPN805
NE290,111.1.2.40,SPN805
NE291,111.1.2.41,SPN805
NE292,111.1.2.42,SPN805
NE293,111.1.2.43,SPN805
NE294,111.1.2.44,SPN805
NE295,111.1.2.45,SPN805
NE296,111.1.2.46,SPN805
NE297,111.1.2.47,SPN805
NE298,111.1.2.48,SPN805
NE299,111.1.2.49,SPN805
NE300,111.1.2.50,SPN805
NE301,111.1.2.51,SPN805
NE302,111.1.2.52,SPN805
NE303,111.1.2.53,SPN805
NE304,111.1.2.54,SPN805
NE305,111.1.2.55,SPN805
NE306,111.1.2.56,SPN805
NE307,111.1.2.57,SPN805
NE308,111.1.2.58,SPN805
NE309,111.1.2.59,SPN805
NE310,111.1.2.60,SPN805
NE311,111.1.2.61,SPN805
NE312,111.1.2.62,SPN805
NE313,111.1.2.63,SPN805
NE314,111.1.2.64,SPN805
NE315,111.1.2.65,SPN805
NE316,111.1.2.66,SPN805
NE317,111.1.2.67,SPN805
NE318,111.1.2.68,SPN805
NE319,111.1.2.69,SPN805
NE320,111.1.2.70,SPN805
NE321,111.1.2.71,SPN805
NE322,111.1.2.72,SPN805
NE323,111.1.2.73,SPN805
NE324,111.1.2.74,SPN805
NE325,111.1.2.75,SPN805
NE326,111.1.2.76,SPN805
NE327,111.1.2.77,SPN805
NE328,111.1.2.78,SPN805
NE329,111.1.2.79,SPN805
NE330,111.1.2.80,SPN805
NE331,111.1.2.81,SPN805
NE332,111.1.2.82,SPN805
NE333,111.1.2.83,SPN805
NE334,111.1.2.84,SPN805
NE335,111.1.2.85,SPN805
NE336,111.1.2.86,SPN805
NE337,111.1.2.87,SPN805
NE338,111.1.2.88,SPN805
NE339,111.1.2.89,SPN805
NE340,111.1.2.90,SPN805
NE341,111.1.2.91,SPN805
NE342,111.1.2.92,SPN805
NE343,111.1.2.93,SPN805
NE344,111.1.2.94,SPN805
NE345,111.1.2.95,SPN805
NE346,111.1.2.96,SPN805
NE347,111.1.2.97,SPN805
NE348,111.1.2.98,SPN805
NE349,111.1.2.99,SPN805
NE350,111.1.2.100,SPN805
NE351,111.1.2.101,SPN805
NE352,111.1.2.102,SPN805
NE353,111.1.2.103,SPN805
NE354,111.1.2.104,SPN805
NE355,111.1.2.105,SPN805
NE356,111.1.2.106,SPN805
NE357,111.1.2.107,SPN805
NE358,111.1.2.108,SPN805
NE359,111.1.2.109,SPN805
NE360,111.1.2.110,SPN805
NE361,111.1.2.111,SPN805
NE362,111.1.2.112,SPN805
NE363,111.1.2.113,SPN805
NE364,111.1.2.114,SPN805
NE365,111.1.2.115,SPN805
NE366,111.1.2.116,SPN805
NE367,111.1.2.117,SPN805
NE368,111.1.2.118,SPN805
NE369,111.1.2.119,SPN805
NE370,111.1.2.120,SPN805
NE371,111.1.2.121,SPN805
NE372,111.1.2.122,SPN805
NE373,111.1.2.123,SPN805
NE374,111.1.2.124,SPN805
NE375,111.1.2.125,SPN805
NE376,111.1.2.126,SPN805
NE377,111.1.2.127,SPN805
NE378,111.1.2.128,SPN805
NE379,111.1.2.129,SPN805
NE380,111.1.2.130,SPN805
NE381,111.1.2.131,SPN805
NE382,111.1.2.132,SPN805
NE383,111.1.2.133,SPN805
NE384,111.1.2.134,SPN805
NE385,111.1.2.135,SPN805
NE386,111.1.2.136,SPN805
NE387,111.1.2.137,SPN805
NE388,111.1.2.138,SPN805
NE389,111.1.2.139,SPN805
NE390,111.1.2.140,SPN805
NE391,111.1.2.141,SPN805
NE392,111.1.2.142,SPN805
NE393,111.1.2.143,SPN805
NE394,111.1.2.144,SPN805
NE395,111.1.2.145,SPN805
NE396,111.1.2.146,SPN805
NE397,111.1.2.147,SPN805
NE398,111.1.2.148,SPN805
NE399,111.1.2.149,SPN805
NE400,111.1.2.150,SPN805
NE401,111.1.2.151,SPN805
NE402,111.1.2.152,SPN805
NE403,111.1.2.153,SPN805
NE404,111.1.2.154,SPN805
NE405,111.1.2.155,SPN805
NE406,111.1.2.156,SPN805
NE407,111.1.2.157,SPN805
NE408,111.1.2.158,SPN805
NE409,111.1.2.159,SPN805
NE410,111.1.2.160,SPN805
NE411,111.1.2.161,SPN805
NE412,111.1.2.162,SPN805
NE413,111.1.2.163,SPN805
NE414,111.1.2.164,SPN805
NE415,111.1.2.165,SPN805
NE416,111.1.2.166,SPN805
NE417,111.1.2.167,SPN805
NE418,111.1.2.168,SPN805
NE419,111.1.2.169,SPN805
NE420,111.1.2.170,SPN805
NE421,111.1.2.171,SPN805
NE422,111.1.2.172,SPN805
NE423,111.1.2.173,SPN805
NE424,111.1.2.174,SPN805
NE425,111.1.2.175,SPN805
NE426,111.1.2.176,SPN805
NE427,111.1.2.177,SPN805
NE428,111.1.2.178,SPN805
NE429,111.1.2.179,SPN805
NE430,111.1.2.180,SPN805
NE431,111.1.2.181,SPN805
NE432,111.1.2.182,SPN805
NE433,111.1.2.183,SPN805
NE434,111.1.2.184,SPN805
NE435,111.1.2.185,SPN805
NE436,111.1.2.186,SPN805
NE437,111.1.2.187,SPN805
NE438,111.1.2.188,SPN805
NE439,111.1.2.189,SPN805
NE440,111.1.2.190,SPN805
NE441,111.1.2.191,SPN805
NE442,111.1.2.192,SPN805
NE443,111.1.2.193,SPN805
NE444,111.1.2.194,SPN805
NE445,111.1.2.195,SPN805
NE446,111.1.2.196,SPN805
NE447,111.1.2.197,SPN805
NE448,111.1.2.198,SPN805
NE449,111.1.2.199,SPN805
NE450,111.1.2.200,SPN805
NE451,111.1.2.201,SPN805
NE452,111.1.2.202,SPN805
NE453,111.1.2.203,SPN805
NE454,111.1.2.204,SPN805
NE455,111.1.2.205,SPN805
NE456,111.1.2.206,SPN805
NE457,111.1.2.207,SPN805
NE458,111.1.2.208,SPN805
NE459,111.1.2.209,SPN805
NE460,111.1.2.210,SPN805
NE461,111.1.2.211,SPN805
NE462,111.1.2.212,SPN805
NE463,111.1.2.213,SPN805
NE464,111.1.2.214,SPN805
NE465,111.1.2.215,SPN805
NE466,111.1.2.216,SPN805
NE467,111.1.2.217,SPN805
NE468,111.1.2.218,SPN805
NE469,111.1.2.219,SPN805
NE470,111.1.2.220,SPN805
NE471,111.1.2.221,SPN805
NE472,111.1.2.222,SPN805
NE473,111.1.2.223,SPN805
NE474,111.1.2.224,SPN805
NE475,111.1.2.225,SPN805
NE476,111.1.2.226,SPN805
NE477,111.1.2.227,SPN805
NE478,111.1.2.228,SPN805
NE479,111.1.2.229,SPN805
NE480,111.1.2.230,SPN805
NE481,111.1.2.231,SPN805
NE482,111.1.2.232,SPN805
NE483,111.1.2.233,SPN805
NE484,111.1.2.234,SPN805
NE485,111.1.2.235,SPN805
NE486,111.1.2.236,SPN805
NE487,111.1.2.237,SPN805
NE488,111.1.2.238,SPN805
NE489,111.1.2.239,SPN805
NE490,111.1.2.240,SPN805
NE491,111.1.2.241,SPN805
NE492,111.1.2.242,SPN805
NE493,111.1.2.243,SPN805
NE494,111.1.2.244,SPN805
NE495,111.1.2.245,SPN805
NE496,111.1.2.246,SPN805
NE497,111.1.2.247,SPN805
NE498,111.1.2.248,SPN805
NE499,111.1.2.249,SPN805
NE500,111.1.2.250,SPN805
